ID,id_student,code_module,code_presentation
98,422343,CCC,2014J
99,118578,DDD,2014J
100,551628,BBB,2013J
101,485949,CCC,2014J
102,623519,BBB,2014J
103,409766,DDD,2013B
104,2468706,BBB,2013J
105,343446,AAA,2013J
106,593345,BBB,2014B
107,2464386,CCC,2014J
108,625213,CCC,2014B
109,653726,CCC,2014J
110,568686,DDD,2014B
111,611405,EEE,2014J
112,687988,FFF,2014J
113,581806,GGG,2013J
114,480025,FFF,2013J
115,594909,CCC,2014J
116,586854,BBB,2013J
117,535463,DDD,2013B
118,442064,AAA,2014J
119,692502,BBB,2014J
120,342089,CCC,2014B
121,564981,FFF,2013J
122,613165,FFF,2014J
123,697912,BBB,2014J
124,629231,FFF,2014B
125,587706,FFF,2014J
126,633931,FFF,2014J
127,318769,EEE,2014J
128,514028,DDD,2013B
129,388975,BBB,2013J
130,2561282,DDD,2013J
131,2464963,BBB,2013B
132,598973,EEE,2013J
133,643644,EEE,2014J
134,654933,EEE,2014J
135,234978,DDD,2013B
136,688159,FFF,2014J
137,115875,FFF,2014B
138,685831,FFF,2014J
139,481022,AAA,2014J
140,540422,DDD,2013B
141,2655370,FFF,2013J
142,371530,BBB,2013J
143,557792,FFF,2013B
144,570213,FFF,2013J
145,364770,DDD,2013J
146,435101,DDD,2013B
147,634721,CCC,2014J
148,1916140,DDD,2014B
149,358504,DDD,2013J
150,232827,DDD,2014B
151,101187,DDD,2014J
152,588706,EEE,2013J
153,355738,FFF,2013B
154,678373,BBB,2014J
155,505692,BBB,2014J
156,134188,DDD,2013B
157,623073,DDD,2014B
158,618631,BBB,2014B
159,602269,EEE,2013J
160,2339150,DDD,2013J
161,195552,FFF,2014B
162,561441,GGG,2014B
163,572154,CCC,2014B
164,341093,FFF,2014J
165,694729,GGG,2014J
166,480928,EEE,2014B
167,67986,FFF,2014B
168,599245,FFF,2013J
169,587195,FFF,2013J
170,559912,CCC,2014B
171,616361,BBB,2014B
172,629537,GGG,2014B
173,696253,CCC,2014J
174,558092,BBB,2013B
175,555695,BBB,2013B
176,467396,BBB,2014J
177,469389,DDD,2013J
178,653352,CCC,2014J
179,675537,EEE,2014J
180,34653,DDD,2013J
181,684617,CCC,2014J
182,595164,FFF,2013J
183,579528,GGG,2013J
184,555837,BBB,2013B
185,249965,GGG,2013J
186,630812,FFF,2014B
187,586535,BBB,2013J
188,193310,BBB,2014J
189,558955,BBB,2013B
190,387533,AAA,2014J
191,590836,GGG,2013J
192,608448,BBB,2014J
193,418998,FFF,2013B
194,691028,BBB,2014J
195,548261,EEE,2014B
196,621322,BBB,2014B
197,621473,GGG,2014B
198,331404,DDD,2013J
199,573683,BBB,2013J
200,493609,BBB,2014J
201,575355,GGG,2013J
202,1054876,FFF,2013B
203,2500258,AAA,2014J
204,684420,BBB,2014J
205,548881,BBB,2013B
206,443108,BBB,2013J
207,591055,FFF,2013J
208,618937,DDD,2014B
209,1026777,FFF,2013B
210,546196,BBB,2013J
211,603726,DDD,2014J
212,1341096,GGG,2013J
213,316098,FFF,2013J
214,576390,FFF,2013J
215,576375,BBB,2014B
216,485962,AAA,2014J
217,642939,FFF,2014J
218,435572,DDD,2014J
219,474495,CCC,2014J
220,551636,FFF,2014B
221,594414,DDD,2013J
222,597252,EEE,2014J
223,684064,EEE,2014J
224,1490624,EEE,2014J
225,2034000,DDD,2013B
226,534856,FFF,2013B
227,523700,FFF,2013B
228,532335,BBB,2013J
229,578666,GGG,2013J
230,604543,BBB,2013J
231,2642935,AAA,2014J
232,169079,DDD,2013J
233,676272,FFF,2014J
234,627395,CCC,2014B
235,545637,FFF,2014B
236,627176,CCC,2014B
237,262332,FFF,2014J
238,2343413,BBB,2014B
239,565715,BBB,2013J
240,558963,FFF,2013B
241,631770,CCC,2014B
242,581656,CCC,2014J
243,2639540,AAA,2013J
244,590744,EEE,2013J
245,610326,DDD,2014B
246,544141,FFF,2014J
247,592003,EEE,2013J
248,698399,DDD,2014J
249,690554,BBB,2014J
250,334154,EEE,2013J
251,1351739,DDD,2013B
252,634817,CCC,2014J
253,686399,DDD,2014J
254,2623196,FFF,2013B
255,617297,BBB,2014B
256,611013,DDD,2014J
257,399843,DDD,2013J
258,602837,FFF,2013J
259,379406,CCC,2014J
260,2198970,DDD,2013J
261,572054,BBB,2013J
262,465399,DDD,2013J
263,580702,FFF,2013J
264,679798,BBB,2014J
265,574549,BBB,2013J
266,620423,FFF,2014B
267,578600,BBB,2013J
268,48635,FFF,2014B
269,631117,EEE,2014B
270,686309,GGG,2014J
271,543948,CCC,2014B
272,2184026,BBB,2014B
273,2540195,DDD,2013J
274,468529,BBB,2014B
275,688127,FFF,2014J
276,651831,BBB,2014J
277,588710,EEE,2013J
278,633515,GGG,2014B
279,610744,BBB,2013J
280,696410,FFF,2014J
281,611977,BBB,2014B
282,617976,FFF,2014B
283,629040,BBB,2014B
284,563735,BBB,2013J
285,611046,BBB,2013J
286,476520,FFF,2013J
287,48040,BBB,2013J
288,571885,BBB,2013J
289,481350,CCC,2014J
290,628947,DDD,2014B
291,2663010,DDD,2013J
292,590416,BBB,2014J
293,577566,CCC,2014J
294,679750,CCC,2014J
295,626419,FFF,2014B
296,543510,DDD,2013B
297,593823,FFF,2013J
298,575018,BBB,2013J
299,625126,EEE,2014B
300,551573,DDD,2013B
301,599452,CCC,2014J
302,604228,FFF,2013J
303,676589,DDD,2014J
304,689828,BBB,2014J
305,588493,CCC,2014J
306,559912,CCC,2014J
307,587054,BBB,2014J
308,653569,DDD,2014J
309,594052,DDD,2013J
310,2631092,DDD,2014B
311,648589,BBB,2014J
312,56667,FFF,2014J
313,1639743,CCC,2014J
314,561164,BBB,2013B
315,613876,DDD,2014B
316,557325,BBB,2013B
317,1917335,FFF,2013J
318,628366,EEE,2014B
319,578000,EEE,2013J
320,439713,DDD,2013J
321,648654,EEE,2014J
322,565608,FFF,2013J
323,2023366,BBB,2013B
324,645939,DDD,2014J
325,679271,CCC,2014J
326,606028,GGG,2013J
327,598666,FFF,2013J
328,292694,DDD,2013J
329,596208,GGG,2013J
330,518496,BBB,2013J
331,545785,GGG,2013J
332,566810,DDD,2013J
333,134563,BBB,2013J
334,681089,BBB,2014J
335,644144,GGG,2014J
336,588156,FFF,2013J
337,617307,CCC,2014B
338,536963,FFF,2014J
339,444909,DDD,2013J
340,558692,FFF,2013B
341,2494999,DDD,2013J
342,590482,DDD,2013J
343,576159,FFF,2014B
344,638818,BBB,2014J
345,172301,CCC,2014B
346,649637,EEE,2014J
347,681729,DDD,2014J
348,48635,CCC,2014J
349,536825,CCC,2014J
350,590593,BBB,2014J
351,1913872,DDD,2013B
352,491771,EEE,2013J
353,577692,BBB,2013J
354,545093,DDD,2013J
355,402449,FFF,2014B
356,100758,EEE,2013J
357,574253,BBB,2014J
358,478346,DDD,2013B
359,623641,DDD,2014J
360,684579,FFF,2014J
361,236498,DDD,2013B
362,577688,FFF,2013J
363,547873,BBB,2013B
364,607538,FFF,2013J
365,493988,EEE,2013J
366,623314,FFF,2014B
367,696796,EEE,2014J
368,64296,CCC,2014B
369,612326,DDD,2014B
370,2235019,DDD,2014J
371,683503,CCC,2014J
372,620215,EEE,2014B
373,2095576,FFF,2014B
374,602401,GGG,2013J
375,548271,DDD,2013B
376,598176,GGG,2013J
377,74130,DDD,2013J
378,592602,BBB,2014B
379,1904710,BBB,2013B
380,597555,FFF,2013J
381,537488,BBB,2013B
382,71723,CCC,2014J
383,683406,CCC,2014J
384,178179,FFF,2014B
385,622626,DDD,2014J
386,424014,BBB,2014B
387,632704,BBB,2014B
388,698092,EEE,2014J
389,617880,DDD,2014B
390,296911,FFF,2013B
391,695510,BBB,2014J
392,685627,GGG,2014J
393,624266,EEE,2014B
394,571622,FFF,2013J
395,645481,EEE,2014J
396,599263,EEE,2013J
397,572658,EEE,2013J
398,588105,GGG,2013J
399,647102,GGG,2014J
400,688742,EEE,2014J
401,472180,DDD,2013B
402,605327,BBB,2013J
403,522482,AAA,2014J
404,77241,DDD,2013J
405,552795,EEE,2013J
406,2407762,FFF,2013B
407,652539,GGG,2014J
408,387289,DDD,2013B
409,504190,FFF,2013B
410,578781,GGG,2013J
411,610012,GGG,2013J
412,236150,DDD,2014J
413,634919,FFF,2014B
414,577414,DDD,2013J
415,2146792,AAA,2013J
416,549563,BBB,2013B
417,693058,CCC,2014J
418,381646,DDD,2013B
419,524261,DDD,2013J
420,561752,BBB,2014J
421,642785,DDD,2014J
422,688849,DDD,2014J
423,640995,GGG,2014J
424,1638548,CCC,2014B
425,411730,DDD,2013J
426,576423,FFF,2014J
427,630157,CCC,2014B
428,653385,BBB,2014J
429,591057,FFF,2013J
430,2675343,DDD,2014B
431,441393,DDD,2014B
432,595990,EEE,2013J
433,560067,FFF,2013B
434,642443,DDD,2014J
435,678127,FFF,2014J
436,576281,FFF,2013J
437,577149,FFF,2013J
438,595850,BBB,2014J
439,632780,CCC,2014B
440,555603,BBB,2014B
441,687769,BBB,2014J
442,360489,BBB,2013B
443,539922,FFF,2013B
444,629452,DDD,2014B
445,294134,BBB,2014J
446,651508,CCC,2014J
447,599663,CCC,2014J
448,106747,FFF,2014B
449,514043,BBB,2013J
450,516841,BBB,2013B
451,581770,CCC,2014J
452,686312,DDD,2014J
453,128817,EEE,2014J
454,40419,DDD,2013B
455,622899,FFF,2014B
456,632569,GGG,2014B
457,516843,DDD,2013B
458,153788,EEE,2013J
459,528713,FFF,2014B
460,683256,GGG,2014J
461,648178,GGG,2014J
462,676204,DDD,2014J
463,565009,BBB,2014B
464,650752,EEE,2014J
465,576962,EEE,2013J
466,603565,EEE,2013J
467,638007,GGG,2014J
468,612397,CCC,2014B
469,571554,BBB,2013J
470,560703,FFF,2013J
471,302363,EEE,2014J
472,2153153,AAA,2013J
473,2313615,BBB,2013J
474,506618,EEE,2014J
475,230279,FFF,2013B
476,599804,GGG,2013J
477,571702,FFF,2013J
478,654198,EEE,2014J
479,581586,BBB,2013J
480,529550,CCC,2014J
481,2384687,CCC,2014B
482,518436,DDD,2013B
483,549370,FFF,2013B
484,523012,BBB,2013B
485,690065,GGG,2014J
486,628361,CCC,2014J
487,651886,FFF,2014J
488,630073,DDD,2014B
489,606245,GGG,2013J
490,564115,BBB,2014J
491,581493,BBB,2013J
492,557850,DDD,2013B
493,556057,DDD,2014B
494,632903,CCC,2014B
495,558134,DDD,2013B
496,594199,EEE,2013J
497,2637000,CCC,2014J
498,560161,BBB,2013B
499,628328,BBB,2014B
500,676139,FFF,2014J
501,501008,BBB,2013B
502,629505,BBB,2014B
503,694871,CCC,2014J
504,633238,CCC,2014J
505,470653,BBB,2013B
506,384266,BBB,2014J
507,618882,BBB,2014B
508,596858,FFF,2013J
509,598028,CCC,2014J
510,652288,BBB,2014J
511,596677,BBB,2013J
512,675922,BBB,2014J
513,607603,BBB,2014J
514,645183,BBB,2014J
515,568598,DDD,2013J
516,318855,EEE,2014J
517,629762,FFF,2014B
518,293686,EEE,2014B
519,90901,FFF,2013J
520,633900,BBB,2014B
521,108834,CCC,2014B
522,675656,DDD,2014J
523,483135,BBB,2013J
524,411105,BBB,2014J
525,350929,CCC,2014J
526,602356,DDD,2013J
527,2693772,BBB,2013J
528,686525,EEE,2014J
529,514125,DDD,2013J
530,593281,BBB,2013J
531,1972832,BBB,2014J
532,2341839,CCC,2014B
533,2521865,AAA,2014J
534,616386,EEE,2014B
535,571946,EEE,2014B
536,63295,FFF,2013J
537,657245,DDD,2014J
538,498442,FFF,2014J
539,612187,EEE,2013J
540,497229,DDD,2013J
541,554459,EEE,2013J
542,644484,BBB,2014J
543,533164,BBB,2013J
544,639232,CCC,2014J
545,2291598,BBB,2013B
546,605561,DDD,2013J
547,626103,CCC,2014J
548,250163,DDD,2013J
549,514078,FFF,2014J
550,522525,EEE,2014B
551,492579,BBB,2014J
552,200957,DDD,2013B
553,284734,DDD,2013B
554,600218,BBB,2013J
555,624673,BBB,2014B
556,682863,FFF,2014J
557,598496,GGG,2014B
558,593903,DDD,2013J
559,546675,DDD,2013B
560,621923,GGG,2014B
561,675947,FFF,2014J
562,653998,CCC,2014J
563,615302,FFF,2014J
564,2142055,CCC,2014J
565,2539092,DDD,2013J
566,611593,DDD,2013J
567,682483,BBB,2014J
568,601455,BBB,2013J
569,620608,DDD,2014B
570,119310,CCC,2014J
571,2569324,AAA,2014J
572,508079,BBB,2013J
573,631542,GGG,2014B
574,589948,FFF,2013J
575,611534,GGG,2014B
576,447059,DDD,2013J
577,186565,BBB,2014B
578,614477,CCC,2014B
579,556567,FFF,2013B
580,555604,CCC,2014B
581,489251,BBB,2013B
582,576940,BBB,2013J
583,468845,DDD,2014J
584,653597,BBB,2014J
585,630008,GGG,2014B
586,602233,EEE,2013J
587,419228,FFF,2013B
588,532428,FFF,2013B
589,557979,BBB,2013B
590,553410,CCC,2014B
591,626444,CCC,2014B
592,683974,GGG,2014J
593,997948,DDD,2013J
594,124728,DDD,2013B
595,548132,DDD,2013B
596,657099,BBB,2014J
597,442924,CCC,2014J
598,581672,BBB,2013J
599,681705,DDD,2014J
600,623333,BBB,2014B
601,597912,FFF,2013J
602,491486,FFF,2014B
603,655408,CCC,2014J
604,397797,CCC,2014B
605,70827,EEE,2014J
606,544796,BBB,2013B
607,385387,CCC,2014B
608,624946,FFF,2014B
609,596390,BBB,2013J
610,480928,CCC,2014B
611,467901,FFF,2013J
612,637123,EEE,2014J
613,445595,DDD,2014J
614,613158,BBB,2013J
615,1819994,DDD,2013B
616,625774,EEE,2014B
617,527619,FFF,2013J
618,598252,BBB,2013J
619,618412,FFF,2014B
620,481863,DDD,2013J
621,2410459,CCC,2014B
622,602452,DDD,2013J
623,423947,EEE,2014J
624,612644,CCC,2014B
625,598555,FFF,2013J
626,943374,EEE,2013J
627,499813,FFF,2014B
628,1830562,DDD,2013J
629,466508,EEE,2014J
630,1930949,FFF,2013B
631,165178,DDD,2013J
632,626646,BBB,2014J
633,492182,BBB,2013B
634,204609,DDD,2014J
635,593871,BBB,2013J
636,685592,BBB,2014J
637,676084,EEE,2014J
638,425858,EEE,2014J
639,603260,FFF,2013J
640,649248,CCC,2014J
641,695485,FFF,2014J
642,634933,GGG,2014B
643,683555,FFF,2014J
644,504102,BBB,2013B
645,534371,EEE,2013J
646,277412,DDD,2013J
647,581333,BBB,2014B
648,698485,FFF,2014J
649,603861,AAA,2013J
650,597074,FFF,2013J
651,484556,FFF,2013B
652,480937,FFF,2013B
653,581520,FFF,2014B
654,603064,GGG,2014B
655,581486,FFF,2013J
656,387446,GGG,2014J
657,75469,DDD,2014B
658,247902,BBB,2013J
659,558760,FFF,2013B
660,28897,FFF,2014B
661,623797,EEE,2014B
662,656373,BBB,2014J
663,2593755,CCC,2014J
664,435043,FFF,2013B
665,527619,DDD,2013B
666,535548,BBB,2014B
667,386348,BBB,2013B
668,608904,CCC,2014B
669,655662,BBB,2014J
670,648972,FFF,2014J
671,2604856,CCC,2014B
672,369378,GGG,2013J
673,628751,BBB,2014B
674,607555,DDD,2013J
675,35355,EEE,2013J
676,335922,DDD,2014J
677,154073,DDD,2014J
678,563967,CCC,2014B
679,519879,CCC,2014J
680,564596,BBB,2013J
681,568307,CCC,2014J
682,596305,BBB,2013J
683,594578,DDD,2013J
684,677190,BBB,2014J
685,545799,BBB,2013B
686,550377,FFF,2013B
687,32239,GGG,2013J
688,603888,BBB,2014B
689,2257112,FFF,2014B
690,590502,BBB,2013J
691,594208,BBB,2013J
692,618586,BBB,2014B
693,523335,CCC,2014B
694,558052,DDD,2013J
695,2434666,CCC,2014J
696,599840,BBB,2013J
697,603341,FFF,2013J
698,548332,FFF,2014B
699,203640,BBB,2013J
700,619380,CCC,2014J
701,654045,FFF,2014J
702,551287,FFF,2013B
703,590548,FFF,2014B
704,611719,BBB,2014B
705,627307,CCC,2014B
706,625207,EEE,2014B
707,602895,FFF,2013J
708,144959,FFF,2013J
709,348439,DDD,2014B
710,629766,CCC,2014B
711,578850,DDD,2013J
712,682018,DDD,2014J
713,631870,CCC,2014J
714,2672734,FFF,2013B
715,2298895,CCC,2014B
716,353660,CCC,2014B
717,612822,CCC,2014B
718,348159,CCC,2014B
719,1633695,BBB,2014B
720,293321,EEE,2014J
721,383785,DDD,2013J
722,563847,DDD,2014J
723,420141,DDD,2014J
724,571859,FFF,2013J
725,607900,DDD,2013J
726,650341,CCC,2014J
727,2593920,CCC,2014J
728,109577,CCC,2014J
729,351505,FFF,2013J
730,546428,BBB,2013B
731,464616,FFF,2013B
732,466425,FFF,2013J
733,587529,GGG,2013J
734,690062,CCC,2014J
735,616388,DDD,2014B
736,582404,BBB,2013J
737,984619,CCC,2014B
738,553078,BBB,2013J
739,1536774,BBB,2013J
740,2690077,BBB,2013J
741,698471,BBB,2014J
742,633902,BBB,2014J
743,581123,CCC,2014J
744,416304,FFF,2013J
745,602865,BBB,2014J
746,588528,GGG,2013J
747,359943,DDD,2013J
748,595797,CCC,2014B
749,680572,FFF,2014J
750,2204941,DDD,2014J
751,532968,FFF,2013B
752,391924,DDD,2014B
753,631334,CCC,2014B
754,601375,FFF,2014B
755,609347,FFF,2014B
756,630169,GGG,2014B
757,1934047,BBB,2013J
758,621025,GGG,2014B
759,629081,CCC,2014B
760,680349,FFF,2014J
761,577042,FFF,2013J
762,407453,CCC,2014B
763,598300,FFF,2014B
764,334224,FFF,2014J
765,625928,CCC,2014J
766,578452,GGG,2014B
767,628666,FFF,2014B
768,370184,DDD,2014J
769,598215,FFF,2013J
770,1998834,FFF,2014J
771,580317,FFF,2013J
772,92103,GGG,2014J
773,514981,BBB,2013B
774,616407,CCC,2014J
775,383541,FFF,2013B
776,595943,FFF,2014J
777,634715,BBB,2014B
778,551589,CCC,2014J
779,555414,BBB,2013B
780,595935,FFF,2013J
781,2681505,BBB,2014J
782,2045440,FFF,2013B
783,651672,DDD,2014J
784,2367887,FFF,2013B
785,650247,BBB,2014J
786,548759,FFF,2013B
787,608472,CCC,2014B
788,427704,BBB,2013B
789,624052,DDD,2014B
790,615028,BBB,2014B
791,593535,FFF,2013J
792,600390,GGG,2014B
793,611639,EEE,2013J
794,509122,CCC,2014B
795,511612,CCC,2014J
796,572304,FFF,2013J
797,140108,FFF,2014B
798,2044036,BBB,2013J
799,548190,GGG,2013J
800,517352,BBB,2013J
801,685557,EEE,2014J
802,692484,BBB,2014J
803,592135,BBB,2014J
804,270256,BBB,2014B
805,681421,GGG,2014J
806,498755,BBB,2013J
807,552025,BBB,2013B
808,545298,BBB,2013J
809,581027,BBB,2013J
810,505815,CCC,2014J
811,406974,BBB,2013B
812,535542,FFF,2014J
813,1812797,DDD,2014J
814,533527,BBB,2014B
815,613646,GGG,2014B
816,469113,CCC,2014B
817,2590564,BBB,2014B
818,531888,DDD,2013B
819,424082,CCC,2014B
820,546250,BBB,2014J
821,351577,CCC,2014B
822,696348,BBB,2014J
823,607896,FFF,2014B
824,1780737,CCC,2014B
825,483468,BBB,2014B
826,278786,EEE,2013J
827,650471,EEE,2014J
828,609605,EEE,2014J
829,615031,CCC,2014B
830,531290,BBB,2014B
831,311599,BBB,2014B
832,629056,CCC,2014J
833,694473,BBB,2014J
834,498903,DDD,2013J
835,464981,FFF,2013J
836,2339528,AAA,2013J
837,535390,FFF,2013B
838,571951,DDD,2013J
839,686411,CCC,2014J
840,80886,FFF,2013B
841,205231,BBB,2013B
842,598493,DDD,2014J
843,633259,EEE,2014B
844,578285,DDD,2013J
845,344199,DDD,2013B
846,132924,BBB,2014J
847,494143,FFF,2013J
848,2535160,FFF,2014J
849,330347,FFF,2013J
850,678844,DDD,2014J
851,644936,FFF,2014J
852,559062,FFF,2013B
853,515105,BBB,2013B
854,585279,EEE,2013J
855,330723,FFF,2013J
856,107455,FFF,2014J
857,559826,DDD,2013B
858,541202,DDD,2013B
859,625511,BBB,2014B
860,591424,EEE,2013J
861,650251,FFF,2014J
862,325089,FFF,2014B
863,555035,BBB,2013B
864,490662,EEE,2014B
865,1941149,FFF,2013J
866,520077,EEE,2014J
867,611798,FFF,2014B
868,570717,FFF,2013J
869,548800,BBB,2013B
870,334981,BBB,2014B
871,312537,AAA,2013J
872,117232,CCC,2014B
873,475078,BBB,2013B
874,410199,FFF,2014B
875,599907,FFF,2013J
876,606409,GGG,2013J
877,148414,DDD,2014J
878,519552,DDD,2013J
879,676459,FFF,2014J
880,385980,CCC,2014J
881,583128,FFF,2013J
882,651155,EEE,2014J
883,581082,EEE,2014J
884,683841,GGG,2014J
885,607896,CCC,2014B
886,606797,BBB,2013J
887,2239140,BBB,2013J
888,625838,CCC,2014B
889,275112,BBB,2014B
890,586407,BBB,2013J
891,585074,BBB,2013J
892,576251,CCC,2014J
893,693085,DDD,2014J
894,614300,EEE,2014J
895,64901,GGG,2014B
896,512995,BBB,2013B
897,2461190,AAA,2013J
898,580415,DDD,2013J
899,428769,DDD,2014B
900,557542,FFF,2013B
901,2358707,CCC,2014B
902,535800,BBB,2013B
903,404356,AAA,2014J
904,550024,FFF,2013B
905,633690,GGG,2014B
906,556660,DDD,2013B
907,2598220,BBB,2013B
908,598123,DDD,2013J
909,2482710,FFF,2014J
910,598260,BBB,2013J
911,595287,BBB,2013J
912,688437,DDD,2014J
913,641452,GGG,2014J
914,517274,FFF,2014B
915,675021,FFF,2014J
916,603731,BBB,2014J
917,574983,EEE,2013J
918,152929,BBB,2013B
919,364066,FFF,2014J
920,627947,CCC,2014J
921,572168,EEE,2013J
922,693236,FFF,2014J
923,574888,EEE,2013J
924,278413,CCC,2014J
925,2293923,AAA,2013J
926,547409,BBB,2013B
927,624879,BBB,2014B
928,571950,DDD,2013J
929,572430,DDD,2014J
930,310088,CCC,2014B
931,2416424,DDD,2014B
932,392021,DDD,2013B
933,611813,CCC,2014J
934,568774,FFF,2013J
935,389267,EEE,2014B
936,641085,FFF,2014J
937,532491,EEE,2013J
938,406326,CCC,2014J
939,633205,FFF,2014B
940,633739,FFF,2014B
941,607947,EEE,2013J
942,617699,DDD,2014B
943,364440,DDD,2013B
944,542050,EEE,2014B
945,593793,GGG,2013J
946,691253,FFF,2014J
947,581410,CCC,2014J
948,383723,AAA,2014J
949,649824,BBB,2014J
950,690046,CCC,2014J
951,2552672,DDD,2013J
952,692426,DDD,2014J
953,607411,CCC,2014B
954,557924,DDD,2013B
955,649840,CCC,2014J
956,544031,DDD,2013J
957,535140,BBB,2013B
958,649868,CCC,2014J
959,1501577,CCC,2014J
960,295741,AAA,2013J
961,537691,DDD,2013J
962,510195,DDD,2013B
963,349359,FFF,2013B
964,591602,GGG,2013J
965,2355214,FFF,2014B
966,381414,FFF,2013J
967,335914,CCC,2014J
968,608669,EEE,2013J
969,604889,FFF,2013J
970,608114,GGG,2013J
971,594038,BBB,2013J
972,2094350,BBB,2014B
973,632574,BBB,2014B
974,625613,DDD,2014B
975,591593,DDD,2013J
976,390029,DDD,2013J
977,80438,FFF,2014J
978,40419,DDD,2013J
979,593099,DDD,2014B
980,522312,CCC,2014B
981,471781,DDD,2014J
982,607892,BBB,2013J
983,584923,EEE,2013J
984,314507,FFF,2013B
985,696514,GGG,2014J
986,643542,DDD,2014J
987,685155,FFF,2014J
988,592632,FFF,2014B
989,582446,BBB,2013J
990,469425,DDD,2014B
991,540503,FFF,2013J
992,642627,EEE,2014J
993,367605,FFF,2013J
994,287783,DDD,2013J
995,2550534,FFF,2014J
996,444925,EEE,2013J
997,688685,FFF,2014J
998,432204,DDD,2013B
999,1689069,DDD,2013J
1000,579199,EEE,2013J
1001,599499,GGG,2013J
1002,477812,FFF,2014B
1003,685861,BBB,2014J
1004,597360,GGG,2013J
1005,618131,DDD,2014B
1006,633510,DDD,2014B
1007,645433,FFF,2014J
1008,630966,FFF,2014B
1009,590762,DDD,2013J
1010,605996,BBB,2014B
1011,680733,DDD,2014J
1012,1976350,DDD,2013B
1013,617781,CCC,2014B
1014,585461,BBB,2013J
1015,544090,CCC,2014B
1016,550802,FFF,2013B
1017,593954,GGG,2013J
1018,74502,DDD,2013J
1019,377046,FFF,2013B
1020,474966,DDD,2013B
1021,577795,FFF,2014B
1022,193803,FFF,2013B
1023,589605,FFF,2013J
1024,437482,CCC,2014J
1025,577520,DDD,2014J
1026,567059,BBB,2014B
1027,515174,BBB,2013B
1028,502640,EEE,2014B
1029,551117,EEE,2014J
1030,600623,EEE,2013J
1031,681923,DDD,2014J
1032,2669206,DDD,2013B
1033,624259,FFF,2014B
1034,468694,AAA,2014J
1035,685052,BBB,2014J
1036,688722,DDD,2014J
1037,574551,FFF,2013J
1038,656510,FFF,2014J
1039,589691,GGG,2013J
1040,628367,GGG,2014B
1041,144747,FFF,2013B
1042,229498,FFF,2014J
1043,592972,BBB,2013J
1044,565393,BBB,2013J
1045,1739026,CCC,2014B
1046,594800,FFF,2013J
1047,675495,EEE,2014J
1048,1889577,AAA,2013J
1049,624050,EEE,2014B
1050,2548055,FFF,2013J
1051,634075,BBB,2014B
1052,626546,DDD,2014J
1053,2551932,AAA,2014J
1054,680713,FFF,2014J
1055,108760,BBB,2013J
1056,188766,BBB,2014J
1057,382051,DDD,2014B
1058,178020,DDD,2013J
1059,643077,EEE,2014J
1060,633608,GGG,2014B
